ID_Club;ID_Prov;Province;gdp_2012;gdpg_2012;gdpc_2012;wage_2012;gap_hp;backinf;forwinf;grdp;trade;trade_grdp;pcons;pcons_grdp;loan;loan_grdp;agri_g;trade_g;pcons_g;loan_g;cpi;gap_ham;spainfquepoly;spainfquepoly19;spainfquepolydia;ogap_prov_nat;stdev_all_mtm;stdev_2012_mtm;stdev_all_yoy;stdev_2012_yoy;inf2012_mtm;inf2012_yoy;lbr_prod;gcons_g;gcons_grdp;grev_g;gexp_g;gdirexp_g;gindirexp_g;lbr_prod_g;market;trans_cost18;pop;gdppc_2015;pop_sq;gdp_sq;nat_gap;exp_cap;wage_hour;gdp_g;std_gdp_g;std_pcons_g
4;1;Aceh;108914897.6;3.852888539;24.23341387;1400000;-0.627694427;3.825772474;3.608068632;117919231;19395567.21;16.42325872;65647161.37;55.64006153;32439830.26;27.26591987;4.143492464;4.462067747;3.358384447;9.43305588;116.8873253;-0.56073864;5.36662063;2.332650656;4.181536285;0.565026748;0.646988029;0.704537947;1.567176911;1.470265855;0.021738954;2.550722475;57.92352437;2.301336253;18.83444583;9.531353656;12.27930107;11.66416706;18.46969135;0.095234083;4929.304047;440872.5;4993385;22.56295719;86.15820623;2034.633704;0.039348658;753376.8233;13313.75;2.939429934;1.781570983;0.262822399
3;2;Bali;106951465;6.960415478;27.48860054;967500;-0.220232024;4.582294838;4.411837241;133893154.9;38611458.05;28.75767243;70843257.36;53.021333;76974944.39;56.63102302;3.627738911;7.101726415;5.202601113;14.40122835;119.7350824;-0.073686294;4.63234834;2.691994959;4.422808379;0.078138134;0.551259326;0.298735906;1.646866737;0.320952681;0.384236677;4.447693548;56.42025642;4.429913027;10.38576942;12.10053009;13.57352332;15.07304685;13.17373661;4.590562594;6845.854785;1980118.4;4148588;27.15756108;717.7413383;23164.66522;0.039348658;1119497.229;14276.5;6.282172063;0.51324187;1.538434785
1;3;Bangka Belitung;40104906.13;5.500385021;32.78430251;1110000;-0.196400318;5.707694733;5.410397258;47051983.27;7688129.53;16.31790476;24383861.72;51.69092288;14854347.41;30.92078467;5.108244993;5.121738122;5.482317867;18.10174472;124.8009641;-0.531067414;4.893790394;2.478402331;4.687297498;0.147658811;1.072564005;1.468843364;2.23032917;1.396764732;0.541617219;5.951170291;72.45652458;4.195323388;9.974377774;10.87265136;13.22070935;10.66123768;16.36552896;2.098386218;7655.480447;494009.4;1370331;82.21775031;83.43436398;2864.820469;0.039348658;1117454.084;14265;4.475654023;0.679529651;0.709768007
1;4;Banten;310385592.5;6.828441812;29.19307246;1042000;-0.115867434;5.287465435;5.26861724;381125146.6;60462637.55;15.85051385;219676700.5;57.71133042;238547295.7;61.36904312;4.455784918;6.415155298;5.156076047;15.33085818;126.1848096;-0.051670553;4.927466431;3.296811126;4.762342099;0.164889429;0.595640496;0.342125166;2.43199174;0.493487188;0.357570909;4.18202032;75.52274662;4.794829119;4.308299278;16.03585771;15.83178016;13.37848131;18.72570659;2.948576615;20024.11577;3818861.3;11934373;9.440423221;1235.069006;39442.02648;0.039348658;1014825.084;18905.75;5.855812988;0.579016671;0.255329417
1;5;Bengkulu;32363037.83;6.826142714;18.86487803;930000;0.050320865;5.439760661;5.309287672;39205763.73;6488763.296;16.44426045;24805392.77;63.22231381;18065012.77;45.32610581;3.420745643;7.665053946;5.615965788;13.93479794;126.4558215;0.056531746;5.03789552;2.145297232;4.602895605;0.065215664;0.835999157;0.784843732;2.388039767;0.917350287;0.37924241;4.240577912;42.61145917;4.920991098;19.23914104;14.4755115;18.77869246;19.14008501;19.05360528;3.612061715;5303.501416;1428783.7;1872136;60.18020699;93.9858921;1968.22703;0.039348658;805934.1368;13247.25;5.464586412;0.662741279;0.551017309
4;6;Gorontalo;17987074.87;7.906762127;17.2925374;837500;0.028025863;4.183548879;4.032370644;22994033.48;2998515.951;12.94728801;14016154.48;60.94708203;10473006.83;44.58924077;6.752456782;9.317067888;6.730480386;16.38884034;117.5528937;-0.004445304;5.321355378;2.414818063;4.749187486;0.131363608;0.89076382;0.887344133;1.639763697;0.762575832;0.434923508;5.936405083;44.40555182;4.62224499;21.4654426;14.06376976;13.37565598;11.8391425;15.85868373;2.931640535;6617.953216;542572;1131670;99.55687789;100.5297116;2042.630408;0.039348658;705335.5645;11876.5;6.904306486;0.630945821;0.206557092
3;7;West Papua;44423335.15;3.630161278;58.41931868;1450000;-1.138737814;4.492405685;4.552432757;53607779.02;3555997.842;6.582446204;14001245.49;26.05659264;12049911.55;21.78460777;3.981686536;7.788917161;5.238439283;21.6730668;119.5263263;-0.104159056;5.123544356;1.459921646;4.590596744;0.567891662;1.095793201;0.839424667;1.705885575;1.548909218;0.415805829;4.229896228;136.7353199;3.799587189;16.92625202;11.37729967;12.07440993;13.42984488;12.45845777;1.410258339;4826.772222;359240.6;868819;129.6766438;8.7168134;537.8439082;0.039348658;967900.4959;19455.75;4.745378402;1.51462697;1.541529772
2;8;Jakarta;1222527925;6.532975561;127.2892593;1529150;-0.067986237;4.762984484;4.670608456;1512144408;320723810.2;21.2637157;883392851.9;58.47845665;1121143221;74.34973902;1.151321406;5.429700986;5.760899812;6.991817181;121.1109768;-0.11992636;5.350035134;3.077292784;4.839504349;0.039493217;0.491444463;0.222045919;1.789059306;0.295745564;0.369609435;4.167711968;317.2502035;4.925123435;12.10500629;13.44689563;16.31272229;14.74890124;18.70942092;4.628168321;21512.99576;61942617.4;10154134;11.09553331;15292.14018;2277291.619;0.039348658;1741639.397;22336.5;6.06864318;0.228372313;0.301086668
3;9;Jambi;104615082.1;7.033094627;33.83121502;1142500;-0.060879471;4.503594634;4.334539833;127590973.6;13330770.48;10.3881921;56659516.42;44.49415564;36086124.39;27.96211201;5.811464797;7.68345991;4.315523187;10.76189779;120.2366669;-0.202756217;5.33562276;2.276556741;4.715163874;0.215622865;0.793295292;0.764459172;1.915321766;1.671039518;0.347519283;4.537158871;80.73581837;4.419221323;7.925337029;11.21666514;14.37286014;10.98624072;18.74956156;3.128987046;5488.148627;975902;3397164;33.16458434;67.8643402;2548.854645;0.039348658;814854.937;13431.25;5.442810169;1.368814503;0.180134566
3;10;West Java;1028409740;6.502303638;23.88665725;780000;-0.136600211;4.533489807;4.545188057;1251160035;229009170.9;18.3283802;785156658.7;62.85894866;519134489.8;40.87810793;2.153307929;5.831246501;4.714313647;13.309702;119.802195;0.05791374;4.964763186;3.026789562;4.588151899;0.141551715;0.5688436;0.408225454;1.605403106;0.580228161;0.316268236;4.045775761;63.16179531;3.770462225;5.251038646;16.59132905;18.57848684;16.43233705;19.5967574;2.660800748;21909.95962;6790374.2;46668214;2.414181353;1319.139878;35365.72228;0.039348658;898330.2151;14710.5;5.588110223;0.569546118;0.430697928
